batch;ordine;titolo;slug;statoComplessivo;corpoPresente;azioneImmagine;idImmagine;giaPresentePrimaDelLotto1;directoryAttualePresente;note
Lotto 1;1;"15 milioni di euro per la digitalizzazione del Terzo settore";15-milioni-di-euro-per-la-digitalizzazione-del-terzo-settore;migrabile-senza-immagine;SI;;;SI;SI;
Lotto 1;2;"50 anni da Basaglia e dalla prima cooperative di integrazione sociale";50-anni-da-basaglia-e-dalla-prima-cooperative-di-integrazione-sociale;migrabile-senza-immagine;SI;;;SI;SI;
Lotto 1;3;"50 anni fa le prime esperienze di integrazione lavorativa autogestita.";50-anni-fa-le-prime-esperienze-di-integrazione-lavorativa-autogestita;migrabile-senza-immagine;SI;;;NO;SI;
Lotto 1;4;"Agricoltura Capodarco vince la sua battaglia per la sede";agricoltura-capodarco-vince-la-sua-battaglia-per-la-sede;migrabile-subito;SI;;;SI;SI;
Lotto 1;5;"ANAC: nelle gare non ci possono essere discriminazioni fra regioni per la selezione di coop sociali";anac-nelle-gare-non-ci-possono-essere-discriminazioni-fra-regioni-per-la-selezione-di-coop-sociali;migrabile-subito;SI;;;SI;SI;
Lotto 1;6;"Appalti, nuove regole per individuare i Ccnl";appalti-nuove-regole-per-individuare-i-ccnl;migrabile-subito;SI;;;SI;SI;
Lotto 1;7;"Assegno Ordinario di Invalidità e Lavoro Dipendente: Decurtazioni e Adempimenti";assegno-ordinario-di-invalidita-e-lavoro-dipendente-decurtazioni-e-adempimenti;migrabile-senza-immagine;SI;;;SI;SI;
Lotto 1;8;"BANCA D'ITALIA: LA POVERTA' CHE AVANZA UN BRUTTO SEGNALE PER IL PAESE";banca-d-italia-la-poverta-che-avanza-un-brutto-segnale-per-il-paese;migrabile-senza-immagine;SI;;;NO;SI;
Lotto 1;9;"BANDO DIGITALE SOCIALE";bando-digitale-sociale;migrabile-senza-immagine;SI;;;NO;SI;
Lotto 1;10;"Congedo Straordinario per Caregiver: Una Guida Pratica";congedo-straordinario-per-caregiver-una-guida-pratica;migrabile-subito;SI;;;NO;SI;
Lotto 1;11;"Cooperazione sociale e lavoro per i più fragili: una sfida vera o solo retorica istituzionale?";cooperazione-sociale-e-lavoro-per-i-piu-fragili-una-sfida-vera-o-solo-retorica-istituzionale;migrabile-senza-immagine;SI;;;NO;SI;
Lotto 1;12;"Dal 2027 cambiano le regole per l’invalidità civile e la Legge 104";dal-2027-cambiano-le-regole-per-l-invalidita-civile-e-la-legge-104;migrabile-subito;SI;;;NO;SI;
Lotto 1;13;"Dal 2027 cambiano le regole per l’invalidità civile e la Legge 104 - Copy";dal-2027-cambiano-le-regole-per-l-invalidita-civile-e-la-legge-104-copy;migrabile-subito;SI;;;NO;SI;
Lotto 1;14;"Dal 7 Novembre 2023, l'Associazione COIN Onlus Diventa Fondazione COINSIEME: Un Nuovo Inizio per Obiettivi Sociali Rinnovati";dal-7-novembre-associazione-coin-onlus-diventa-fondazione-coinsieme-un-nuovo-inizio-per-obiettivi-sociali-rinnovati;migrabile-subito;SI;;;NO;SI;
Lotto 1;15;"Dall'esperienza di Turismo per Tutti al premio per i migliori aeroporti accessibili di Fiumicino e Ciampino";dall-esperienza-di-turismo-per-tutti-al-premio-per-i-migliori-aeroporti-accessibili-di-fiumicino-e-ciampino;migrabile-senza-immagine;SI;;;NO;SI;
Lotto 1;16;"Dalla lotta armata alla lotta per gli ultimi";dalla-lotta-armata-alla-lotta-per-gli-ultimi;migrabile-senza-immagine;SI;;;NO;SI;
Lotto 1;17;"Diritti e benefici 2023 per le persone disabili";diritti-e-benefici-2023-per-le-persone-disabili;migrabile-senza-immagine;SI;;;NO;SI;
Lotto 1;18;"DISABILITY CARD a cosa serve e come ottenerla";disability-card-a-cosa-serve-e-come-ottenerla;migrabile-senza-immagine;SI;;;NO;SI;
Lotto 1;19;"E' UFFICIALE IL NUOVO CONTRATTO DELLE COOPERATIVE SOCIALI";e-ufficiale-il-nuovo-contratto-delle-cooperative-sociali;migrabile-senza-immagine;SI;;;NO;SI;
Lotto 1;20;"Energia pulita, inclusione reale: a Grottaferrata prende vita il primo fotovoltaico sociale";energia-pulita-inclusione-reale-a-grottaferrata-prende-vita-il-primo-fotovoltaico-sociale;migrabile-subito;SI;;;NO;SI;
Lotto 2;21;"Esplorare nuovi Orizzonti nel Turismo per Tutti";esplorare-nuovi-orizzonti-nel-turismo-per-tutti;migrabile-subito;SI;;;NO;NO;
Lotto 2;22;"Finanziamento INAIL per la Formazione dei Disabili";finanziamento-inail-per-la-formazione-dei-disabili;migrabile-senza-immagine;SI;;;NO;NO;
Lotto 2;23;"Fondazione COINSIEME ETS: innovazione sociale, inclusione e tecnologia al servizio delle persone";fondazione-coinsieme-ets-innovazione-sociale-inclusione-e-tecnologia-al-servizio-delle-persone;migrabile-senza-immagine;SI;;;NO;NO;
Lotto 2;24;"Fondi privati per l'agricoltura sociale";fondi-privati-per-l-agricoltura-sociale;migrabile-senza-immagine;SI;;;NO;NO;
Lotto 2;25;"Giornata Internazionale della Disabilità: Uno Sguardo alle Politiche di Inclusione e Sostegno in Italia";giornata-internazionale-della-disabilita-uno-sguardo-alle-politiche-di-inclusione-e-sostegno-in-italia;migrabile-senza-immagine;SI;;;NO;NO;
Lotto 2;26;"Gradualità nell’Applicazione del CCNL: uno Strumento di Tutela e Sostenibilità per le Cooperative Sociali";gradualita-nell-applicazione-del-ccnl-uno-strumento-di-tutela-e-sostenibilita-per-le-cooperative-sociali;migrabile-subito;SI;;;NO;NO;
Lotto 2;27;"Il boom dell'Economia Sociale in Italia";il-boom-dell-economia-sociale-in-italia;migrabile-senza-immagine;SI;;;NO;NO;
Lotto 2;28;"Il COIN e il Santa Maria della Pietà di Roma";il-coin-e-il-santa-maria-della-pieta-di-roma;migrabile-senza-immagine;SI;;;NO;NO;
Lotto 2;29;"IL FONDATORE DELLA COMUNITA' CAPODARCO E I GIOVANI";il-fondatore-della-comunita-capodarco-e-i-giovani;migrabile-senza-immagine;SI;;;NO;NO;
Lotto 2;30;"IL LAVORO PER TUTTI";il-lavoro-per-tutti;migrabile-subito;SI;;;NO;NO;
Lotto 2;31;"Il Potenziale Trasformativo dell'Intelligenza Artificiale per le Persone Disabili e Anziane";il-potenziale-trasformativo-dell-intelligenza-artificiale-per-le-persone-disabili-e-anziane;migrabile-senza-immagine;SI;;;NO;NO;
Lotto 2;32;"Il rapporto tra cooperative sociali e PNRR: possibili impieghi e ritorni per il settore";il-rapporto-tra-cooperative-sociali-e-pnrr-possibili-impieghi-e-ritorni-per-il-settore;migrabile-senza-immagine;SI;;;NO;NO;
Lotto 2;33;"Il ricordo di Don Franco";il-ricordo-di-don-franco;migrabile-senza-immagine;SI;;;NO;NO;
Lotto 2;34;"Il Terzo Settore cresce: le nuove opportunità per COINSIEME ETS";il-terzo-settore-cresce-le-nuove-opportunita-per-coinsieme-ets;migrabile-subito;SI;;;NO;NO;
Lotto 2;35;"Indicazioni dall'ISTAT sull'andamento del terzo settore";indicazioni-dall-istat-sull-andamento-del-terzo-settore;migrabile-subito;SI;;;NO;NO;
Lotto 2;36;"""Innovazione nell'Inclusione: Come le Tecnologie Stanno Trasformando il Lavoro per i Disabili""";innovazione-nell-inclusione-come-le-tecnologie-stanno-trasformando-il-lavoro-per-i-disabili;migrabile-senza-immagine;SI;;;NO;NO;
Lotto 2;37;"INPS LANCIA UN PORTALE DI SERVIZIO PER I DISABILI";inps-lancia-un-portale-di-servizio-per-i-disabili;migrabile-subito;SI;;;NO;NO;
Lotto 2;38;"INTESE IN TOSCANA PER LA GESTIONE DEI RIFIUTI CON LE COOPERATIVE SOCIALI";intese-in-toscana-per-la-gestione-dei-rifiuti-con-le-cooperative-sociali;migrabile-subito;SI;;;NO;NO;
